 ,Area,Mean,Min,Max,%Area
823,1,255,255,255,100
824,5,255,255,255,100
825,16,255,255,255,100
826,1,255,255,255,100
827,29,255,255,255,100
828,19,255,255,255,100
829,3,255,255,255,100
830,1,255,255,255,100
831,56,255,255,255,100
832,1,255,255,255,100
833,2,255,255,255,100
834,7,255,255,255,100
835,1,255,255,255,100
836,4,255,255,255,100
837,1,255,255,255,100
838,1,255,255,255,100
839,1,255,255,255,100
840,1,255,255,255,100
841,44,255,255,255,100
842,28,255,255,255,100
843,4,255,255,255,100
844,1,255,255,255,100
845,1,255,255,255,100
846,4,255,255,255,100
847,2,255,255,255,100
848,4,255,255,255,100
849,1,255,255,255,100
850,81,255,255,255,100
851,1,255,255,255,100
852,1,255,255,255,100
853,1,255,255,255,100
854,1,255,255,255,100
855,56,255,255,255,100
856,15,255,255,255,100
857,93,255,255,255,100
858,20,255,255,255,100
859,6,255,255,255,100
860,1,255,255,255,100
861,2,255,255,255,100
862,1,255,255,255,100
863,1,255,255,255,100
864,23,255,255,255,100
865,54,255,255,255,100
866,1,255,255,255,100
867,1,255,255,255,100
868,22,255,255,255,100
869,1,255,255,255,100
870,27,255,255,255,100
871,1,255,255,255,100
872,19,255,255,255,100
873,64,255,255,255,100
874,1,255,255,255,100
875,2,255,255,255,100
876,1,255,255,255,100
877,1,255,255,255,100
878,1,255,255,255,100
879,5,255,255,255,100
880,1,255,255,255,100
881,1,255,255,255,100
882,38,255,255,255,100
883,1,255,255,255,100
884,2,255,255,255,100
885,1,255,255,255,100
886,31,255,255,255,100
887,2,255,255,255,100
888,1,255,255,255,100
889,1,255,255,255,100
890,70,255,255,255,100
891,1,255,255,255,100
892,19,255,255,255,100
893,1,255,255,255,100
894,1,255,255,255,100
895,3,255,255,255,100
896,1,255,255,255,100
897,24,255,255,255,100
898,3,255,255,255,100
899,1,255,255,255,100
900,1,255,255,255,100
901,14,255,255,255,100
902,26,255,255,255,100
903,1,255,255,255,100
904,1,255,255,255,100
905,1,255,255,255,100
906,1,255,255,255,100
907,12,255,255,255,100
908,7,255,255,255,100
909,1,255,255,255,100
910,1,255,255,255,100
911,9,255,255,255,100
912,2,255,255,255,100
913,1,255,255,255,100
914,19,255,255,255,100
915,1,255,255,255,100
916,1,255,255,255,100
917,2,255,255,255,100
918,1,255,255,255,100
919,7,255,255,255,100
920,1,255,255,255,100
921,21,255,255,255,100
922,19,255,255,255,100
923,1,255,255,255,100
924,1,255,255,255,100
925,3,255,255,255,100
926,10,255,255,255,100
927,14,255,255,255,100
928,107,255,255,255,100
929,5,255,255,255,100
930,5,255,255,255,100
931,26,255,255,255,100
932,21,255,255,255,100
933,1,255,255,255,100
934,2,255,255,255,100
935,1,255,255,255,100
936,1,255,255,255,100
937,1,255,255,255,100
938,1,255,255,255,100
939,1,255,255,255,100
940,2,255,255,255,100
941,1,255,255,255,100
942,22,255,255,255,100
943,5,255,255,255,100
944,1,255,255,255,100
945,1,255,255,255,100
946,1,255,255,255,100
947,6,255,255,255,100
948,1,255,255,255,100
949,1,255,255,255,100
950,3,255,255,255,100
951,1,255,255,255,100
952,14,255,255,255,100
953,3,255,255,255,100
954,1,255,255,255,100
955,2,255,255,255,100
956,5,255,255,255,100
957,1,255,255,255,100
958,1,255,255,255,100
959,6,255,255,255,100
960,29,255,255,255,100
961,1,255,255,255,100
962,1,255,255,255,100
963,17,255,255,255,100
964,1,255,255,255,100
965,5,255,255,255,100
966,2,255,255,255,100
967,1,255,255,255,100
968,23,255,255,255,100
969,1,255,255,255,100
970,17,255,255,255,100
971,1,255,255,255,100
972,1,255,255,255,100
973,1,255,255,255,100
974,1,255,255,255,100
975,2,255,255,255,100
976,1,255,255,255,100
977,1,255,255,255,100
978,1,255,255,255,100
979,5,255,255,255,100
980,110,255,255,255,100
981,8,255,255,255,100
982,5,255,255,255,100
983,7,255,255,255,100
984,1,255,255,255,100
985,5,255,255,255,100
